example_id                                                    | status  | run_time        |
./spec/pim/commands/profiles_command_spec.rb[1:1:2]           | passed  | 0.00406 seconds |
./spec/pim/commands/profiles_command_spec.rb[1:2:1]           | passed  | 0.00401 seconds |
./spec/pim/commands/profiles_command_spec.rb[1:3:1]           | passed  | 0.00398 seconds |
./spec/pim/commands/profiles_command_spec.rb[1:3:2]           | passed  | 0.0044 seconds  |
./spec/pim/commands/profiles_command_spec.rb[1:4]             | passed  | 0.00383 seconds |
./spec/pim/commands/profiles_command_spec.rb[1:5]             | passed  | 0.00375 seconds |
./spec/pim/commands/targets_command_spec.rb[1:1:1]            | passed  | 0.00479 seconds |
./spec/pim/commands/targets_command_spec.rb[1:1:2]            | passed  | 0.00452 seconds |
./spec/pim/commands/targets_command_spec.rb[1:2:1]            | passed  | 0.00447 seconds |
./spec/pim/commands/targets_command_spec.rb[1:3:1]            | passed  | 0.0043 seconds  |
./spec/pim/commands/targets_command_spec.rb[1:3:2]            | passed  | 0.00408 seconds |
./spec/pim/commands/targets_command_spec.rb[1:4]              | passed  | 0.00393 seconds |
./spec/pim/commands/version_spec.rb[1:1]                      | passed  | 0.00126 seconds |
./spec/pim/commands/vm_command_spec.rb[1:1]                   | passed  | 0.00009 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:1]                 | passed  | 0.00031 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:2]                 | passed  | 0.00037 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:3]                 | passed  | 0.00045 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:4]                 | passed  | 0.00037 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:5]                 | passed  | 0.0004 seconds  |
./spec/pim/commands/vm_command_spec.rb[1:2:6]                 | passed  | 0.00035 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:7]                 | passed  | 0.00054 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:8]                 | passed  | 0.00034 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:9]                 | passed  | 0.00038 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:10]                | passed  | 0.00062 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:11]                | passed  | 0.00048 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:12]                | passed  | 0.00061 seconds |
./spec/pim/commands/vm_command_spec.rb[1:2:13]                | passed  | 0.0006 seconds  |
./spec/pim/commands/vm_command_spec.rb[1:3:1]                 | passed  | 0.00007 seconds |
./spec/pim/commands/vm_command_spec.rb[1:3:2]                 | passed  | 0.00014 seconds |
./spec/pim/commands/vm_command_spec.rb[1:4:1]                 | passed  | 0.00021 seconds |
./spec/pim/commands/vm_command_spec.rb[1:4:2]                 | passed  | 0.00026 seconds |
./spec/pim/commands/vm_command_spec.rb[1:4:3]                 | passed  | 0.00032 seconds |
./spec/pim/commands/vm_command_spec.rb[1:5:1]                 | passed  | 0.00007 seconds |
./spec/pim/config_spec.rb[1:1]                                | passed  | 0.00003 seconds |
./spec/pim/config_spec.rb[1:2]                                | passed  | 0.00003 seconds |
./spec/pim/config_spec.rb[1:3]                                | passed  | 0.00004 seconds |
./spec/pim/config_spec.rb[1:4]                                | passed  | 0.00003 seconds |
./spec/pim/config_spec.rb[1:5]                                | passed  | 0.00003 seconds |
./spec/pim/config_spec.rb[1:6]                                | passed  | 0.00003 seconds |
./spec/pim/config_spec.rb[1:7]                                | passed  | 0.00003 seconds |
./spec/pim/config_spec.rb[1:8]                                | passed  | 0.00003 seconds |
./spec/pim/config_spec.rb[1:9]                                | passed  | 0.00003 seconds |
./spec/pim/console_spec.rb[1:1:1]                             | passed  | 0.00004 seconds |
./spec/pim/console_spec.rb[1:2:1]                             | passed  | 0.00003 seconds |
./spec/pim/console_spec.rb[1:2:2]                             | passed  | 0.00003 seconds |
./spec/pim/console_spec.rb[1:3:1:1]                           | passed  | 0.00008 seconds |
./spec/pim/console_spec.rb[1:3:1:2]                           | passed  | 0.00009 seconds |
./spec/pim/console_spec.rb[1:3:2:1]                           | passed  | 0.00004 seconds |
./spec/pim/console_spec.rb[1:3:2:2]                           | passed  | 0.00005 seconds |
./spec/pim/console_spec.rb[1:3:2:3]                           | passed  | 0.00004 seconds |
./spec/pim/console_spec.rb[1:4:1]                             | passed  | 0.00015 seconds |
./spec/pim/console_spec.rb[1:4:2]                             | passed  | 0.00016 seconds |
